,unnamed: 0,region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,n_years,mean_runoff,fold,mean_check,std_runoff,lnorm_shape,lnorm_loc,lnorm_scale,log_mean_runoff,log_std_runoff,mean_uar,std_uar,log_mean_uar,log_std_uar,complete_year_mean_check,stdev_check
20,20,ERK,05BF020,1.3,-115.21053703098924,50.9591821809651,-1520.0,19.0,0.25,0.16,0.55,0.02,0.03,0.0,0.0,0.0,-0.01,0.26,0.16,0.54,0.02,0.02,0.0,0.0,0.0,0.0,0.15,0.12,0.68,0.03,0.03,0.0,0.0,0.0,-0.01,23.051516,92.9839321669122,2439.4165,2441.2351,2797.0708,2202.0,2441.2351,957.0,-8.3,3.4,397.6,426.4,329.9,4.5,0.7,1.1,0.1,23.0,2.0536222453222455,0,2.1970473374364956,2.975140940246904,15.297365595436593,0.006646153846153846,0.0013227609163898968,-0.7741483041885636,2.279703613422131,1579.7094194786503,2288.5699540360797,5.871242710326082,2.279703613422131,True,2.9754550884912985
21,21,ERK,05BG002,212.4,-115.3563906171725,51.34476009973866,-1520.0,19.0,0.39,0.03,0.55,0.01,0.01,0.0,0.0,0.0,0.0099999999999998,0.39,0.03,0.55,0.01,0.01,0.0,0.0,0.0,0.0099999999999998,0.32,0.04,0.6,0.02,0.02,0.0,0.0,0.0,0.0,25.259031,132.40462134561972,2205.9446,2209.2539,3097.179,1540.12,2209.2539,895.6,-7.5,4.2,417.2,306.5,305.6,4.4,0.7,1.1,0.1,44.0,1.2628971184669608,0,1.234716226714521,1.6254943881915276,1.307868622102773,0.13744982444266696,0.517782767989917,-0.2825206225771993,0.9706885223334158,5.945843307283244,7.652986761730355,1.2667633670371539,0.9706885223334158,True,1.625565164948498
22,22,ERK,05BG006,303.9,-115.09329908732526,51.3709556964894,-1553.03,17.22158,0.73,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.06,0.22,0.0,0.0,0.0,0.0,0.0,0.02,0.61,0.15,0.22,0.01,0.01,0.0,0.0,0.0,0.0,11.207304,102.46978417963666,1622.6945,1714.4938,2878.0,1263.9647,1714.4938,719.3,-5.6,7.1,465.6,148.7,288.5,4.9,0.7,1.1,0.1,53.0,0.6216359166578178,0,0.6182689043863746,1.147237735034961,1.0656062622752882,0.006656228290707652,0.3347866138041676,-1.0614060055987622,1.0334813703990438,2.045527860012563,3.7750501317372858,0.12965057346062767,1.0334813703990438,True,1.147268012749302
23,23,ERK,05BH015,475.3,-114.76568357800252,51.035894479851045,-1249.96,5.92019,0.62,0.1,0.11,0.01,0.15,0.0,0.0,0.0,0.01,0.62,0.1,0.11,0.01,0.15,0.0,0.0,0.0,0.01,0.44,0.37,0.14,0.01,0.02,0.0,0.0,0.0,0.02,7.5933509,54.2362955925147,1448.9468,1508.895,2480.4341,1203.8501,1508.895,641.6,-4.1,8.8,509.9,88.5,279.9,5.0,0.7,1.0,0.1,11.0,0.3987519077577931,0,0.3986105670663095,1.0846975227086308,1.283555954990756,0.003243020506797252,0.1485499190242383,-1.8639559922521027,1.237599316617959,0.8389478387498278,2.2821323852485396,-1.12014689688993,1.2375993166179589,True,1.0848372943119053
24,24,ERK,05BJ004,793.9,-114.85841299912562,50.82235966758387,-1495.14,16.22439,0.6,0.05,0.31,0.01,0.02,0.0,0.0,0.0,0.01,0.6,0.06,0.32,0.01,0.02,0.0,0.0,0.0,-0.01,0.5,0.11,0.35,0.01,0.01,0.0,0.0,0.0,0.02,18.18825,63.10953534902697,1902.6177,1937.1636,3162.2478,1302.8475,1937.1636,811.7,-5.9,6.4,462.4,212.8,295.7,4.8,0.7,1.0,0.1,66.0,1.0163486672309674,0,1.0054503868709053,1.2352402204022503,0.851774623578376,0.08499110731626183,0.6197057469445604,-0.31284259382477125,0.7455588315697259,1.2801973387466528,1.5559141206729443,-0.08204482357370188,0.7455588315697259,True,1.2352697148022833
25,25,ERK,05BJ005,1225.4,-114.68895050360793,50.89070780710101,-1441.69,10.51138,0.45,0.06,0.25,0.01,0.19,0.03,0.01,0.0,0.0,0.45,0.06,0.25,0.01,0.19,0.03,0.01,0.0,0.0,0.36,0.2,0.32,0.02,0.06,0.03,0.01,0.0,-2.220446049250313e-16,12.554875,61.32733278370253,1640.5125,1682.0533,3162.2478,1074.9501,1682.0533,697.9,-4.8,7.8,490.3,150.4,288.0,5.1,0.7,1.0,0.1,28.0,0.6805949305266932,0,0.6793091707596352,0.7800892001583298,0.84382452646265,0.012348059195037165,0.44605405822731226,-0.770814996461699,0.8193812318062791,0.555406341216495,0.6365996410627793,-0.9740823177711164,0.8193812318062791,True,0.7801273416667335
26,26,ERK,05BJ006,439.2,-114.91096618471896,50.7576220325105,-1532.76,18.31313,0.5,0.04,0.43,0.01,0.01,0.0,0.0,0.0,0.01,0.5,0.04,0.44,0.01,0.01,0.0,0.0,0.0,0.0,0.43,0.06,0.48,0.01,0.02,0.0,0.0,0.0,0.0,21.999043,58.21177211234844,2102.1604,2105.6833,3162.2478,1510.6849,2105.6833,873.5,-6.6,5.3,443.3,268.3,301.1,4.7,0.7,1.0,0.1,29.0,1.2852330362992024,0,1.2302763826628078,1.3765094023413362,1.1213465261604143,0.22438786781439127,0.5794176198620073,-0.09923502991652908,0.7854905297992713,2.9263047274572,3.134128876004864,0.7235653588702872,0.7854905297992714,True,1.3765922522256895
27,27,ERK,05BJ010,1192.3,-114.7039052236104,50.88810798082652,-1448.19,10.80308,0.47,0.05,0.25,0.01,0.19,0.02,0.0,0.0,0.01,0.46,0.06,0.26,0.01,0.19,0.02,0.0,0.0,0.0,0.37,0.2,0.32,0.02,0.06,0.03,0.0,0.0,-2.220446049250313e-16,12.85161,61.87896169059026,1663.5111,1697.6208,3162.2478,1080.9354,1697.6208,704.7,-4.8,7.7,488.7,153.7,288.4,5.1,0.7,1.0,0.1,36.0,0.8480250665723008,0,0.8216965852464985,1.1696133836439286,0.7792752562363141,0.0495228097804034,0.5497865350772403,-0.4904612387455822,0.7158315553914015,0.711251418747212,0.9809723925555052,-0.6663454535755313,0.7158315553914015,True,1.1696793349470143
28,28,ERK,05BK001,259.9,-114.4896959116216,50.87969080439526,-1197.55,1.63283,0.54,0.1,0.11,0.02,0.22,0.0,0.0,0.0,0.01,0.54,0.1,0.11,0.01,0.23,0.0,0.0,0.0,0.01,0.32,0.52,0.13,0.01,0.02,0.0,0.0,0.0,0.0,5.5527616,59.01677747827687,1331.0532,1346.4141,1776.8098,1158.8846,1346.4141,563.1,-3.3,9.8,530.5,57.3,277.4,5.5,0.7,1.0,0.1,61.0,0.35914136397569935,0,0.34177675480683256,1.1739288136358208,1.5802965575527634,-0.0026950531891625695,0.11395078283135232,-2.3624548023431027,2.042860460890583,1.3818444169899937,4.5168480709342855,-1.0149964650084098,2.042860460890583,True,1.1739642385589133
29,29,ERK,05BL012,1492.6,-114.47853010132285,50.69416135457176,-1466.9,9.25092,0.46,0.06,0.14,0.01,0.32,0.01,0.0,0.0,0.0,0.45,0.06,0.14,0.01,0.33,0.01,0.0,0.0,0.0,0.38,0.25,0.24,0.02,0.11,0.01,0.0,0.0,-0.01,9.7814331,68.89091576535887,1405.5786,1521.2334,3140.5422,1048.9396,1521.2334,628.6,-4.0,8.7,512.1,104.7,284.1,5.4,0.7,1.0,0.1,14.0,0.5086440767808844,0,0.5069986731222076,1.2137967661073508,1.2833650282381095,0.015193850424920679,0.19760578724926844,-1.4901150444239912,1.1654869931954612,0.34077721880000295,0.8132096784854286,-1.8906346101391411,1.1654869931954612,True,1.2139241520305757
30,30,ERK,05BL013,509.2,-114.53922232221232,50.74382761134457,-1512.23,10.87643,0.6,0.08,0.07,0.01,0.23,0.0,0.0,0.0,0.01,0.59,0.08,0.08,0.01,0.23,0.0,0.0,0.0,0.01,0.49,0.32,0.14,0.01,0.04,0.0,0.0,0.0,0.0,8.8007755,77.25518983754958,1426.0,1493.8254,2577.5747,1161.8846,1493.8254,622.1,-3.9,9.0,513.8,85.4,283.1,5.4,0.7,1.0,0.1,52.0,0.46832462990808627,0,0.4324831557582966,1.2728311141672377,1.6806060018521483,-0.00110186556155641,0.1394672830719484,-2.017384548600214,1.7840779540792495,0.9197262959703187,2.4996683310432792,-1.3424701363013283,1.7840779540792495,True,1.272880463052171
31,31,ERK,05BL014,591.5,-114.62875690296954,50.620493732608445,-1511.87,13.98147,0.58,0.06,0.22,0.01,0.12,0.01,0.0,0.0,1.1102230246251563e-16,0.58,0.06,0.22,0.01,0.12,0.01,0.0,0.0,1.1102230246251563e-16,0.52,0.17,0.26,0.01,0.03,0.01,0.0,0.0,0.0,15.109404,59.79446061531334,1698.7937,1765.1576,3140.5422,1172.9689,1765.1576,715.3,-5.0,7.2,486.2,158.4,290.2,5.1,0.7,1.0,0.1,48.0,0.7484361035414291,0,0.7500174043706359,1.414432934581628,1.1704789576592123,0.034876989590268186,0.3288429114626816,-0.9538928616596452,1.0484716051961107,1.2653188563675895,2.3912644709748574,-0.4287992660959496,1.0484716051961107,True,1.4144741494638309
32,32,ERK,05BL020,1565.3,-114.45402688055614,50.695157240575824,-1451.52,8.82126,0.43,0.06,0.14,0.01,0.34,0.02,0.0,0.0,0.0,0.43,0.06,0.14,0.01,0.34,0.01,0.0,0.0,0.01,0.36,0.24,0.24,0.02,0.12,0.02,0.0,0.0,0.0,9.4104881,71.24708288863938,1385.0,1501.2627,3140.5422,1013.1442,1501.2627,620.9,-3.9,8.8,514.3,101.6,283.7,5.4,0.7,1.0,0.1,9.0,0.4099198937942232,0,0.40913772529618064,0.7261833796398836,1.2495673979912245,0.0013738316470923845,0.18665856542857254,-1.6630636856085583,1.2310714143410975,0.2618794440645392,0.4639260075639708,-2.1111411845205987,1.2310714143410975,True,0.7263064094382486
